shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,cat_title,cat_slug,current_canonical_url,proposed_canonical_url,redirect_required,redirect_from,redirect_to,tags,collections,model_used,vision_escalated,suggested_brand_handles
gid://shopify/Product/7991648649508,tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-rosegold,Tech Stirrup Irons Venice Sloped Evo Safety Riding Stirrup Leathers in Black & Rosegold,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Irons,95,auto,"The product is clearly identified as stirrup irons in the title, description, and tags. The canonical collection hint and current type also support this classification.",Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-rosegold,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-rosegold,no,,,ascot saddlery; stirrups; stirrups and leathers; tech,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991648846116,tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-silver,Tech Stirrup Irons: Venice Sloped Evo Safety Riding Stirrups in Black & Silver,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Irons,100,auto,"The product is clearly identified as 'Tech Stirrup Irons' and 'Venice Sloped Evo Safety Riding Stirrups' in the title and description. The canonical collection hint also specifies 'stirrup-irons', confirming the product type as 'Stirrup Irons'.",Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-silver,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-silver,no,,,ascot saddlery; stirrups; stirrups and leathers; tech,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991648911652,tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-titanium,Venice Sloped Evo Black & Titanium Tech Stirrup Irons Riding Stirrup Leathers,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Irons,95,auto,"The product is clearly described as 'Tech Stirrup Irons Venice Sloped Evo Safety Stirrups Black & Titanium' in the title and description. It is also categorized under 'stirrups' and 'stirrups and leathers' in tags and 'stirrup-irons' in the canonical collection hint. The current type 'HORSE: Stirrup Irons' aligns with the product description, but the more specific allowed type is 'Stirrup Irons'.",Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-titanium,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-black-titanium,no,,,ascot saddlery; stirrups; stirrups and leathers; tech,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991649009956,tech-stirrup-irons-venice-sloped-evo-safety-stirrups-silver-silver,Venice Evo Sloped Riding Safety Stirrups Crafted with Tech Stirrup Irons by Silver & Silver,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Irons,95,auto,"The product is described as 'Tech Stirrup Irons Venice Sloped Evo Safety Stirrups' and is associated with collections and tags related to stirrups. The canonical collection hint also points to 'stirrup-irons', confirming the product type as 'Stirrup Irons'.",Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-silver-silver,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-sloped-evo-safety-stirrups-silver-silver,no,,,ascot saddlery; stirrups; stirrups and leathers; tech,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991649272100,tech-stirrup-irons-venice-young-evo-safety-stirrups-black-silver,Tech Stirrup Irons - Venice Young Evo Safety Riding Stirrups In Black & Silver,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Irons,95,auto,The product is clearly identified as 'Tech Stirrup Irons' and 'Venice Young Evo Safety Riding Stirrups' in the title and description. The canonical collection hint 'horse/tack/stirrup-irons' and tags like 'stirrups' and 'stirrups and leathers' further support this classification.,Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-young-evo-safety-stirrups-black-silver,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-young-evo-safety-stirrups-black-silver,no,,,ascot saddlery; stirrups; stirrups and leathers; tech,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991649370404,tech-stirrup-irons-venice-young-safety-stirrups-black-black,Black Venice Young Tech Stirrup Irons - Safety Riding Stirrup Leathers,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Irons,95,auto,"The product is clearly identified as 'Tech Stirrup Irons' in the title, description, and tags. The canonical collection hint 'horse/tack/stirrup-irons' and the current type 'HORSE: Stirrup Irons' further confirm this classification.",Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-young-safety-stirrups-black-black,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-young-safety-stirrups-black-black,no,,,ascot saddlery; stirrups; stirrups and leathers,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991649534244,tekna-flex-tek-stirrup-irons-black,Tekna Flex Tek Black Stirrup Leathers for Riding,Ascot Saddlery,HORSE: Stirrup Irons,Stirrup Leathers,90,auto,"The product title and SEO title both mention 'Stirrup Leathers', indicating the primary product type. The tags and collections also support this classification, as they include 'stirrups and leathers' and 'strapping'.",Stirrup Irons; Stirrups and leathers,Horse > Strapping > Strapping - Stirrup Leathers,/horse/tack/stirrup-leathers,/horse/tack/stirrup-irons/tekna-flex-tek-stirrup-irons-black,/horse/tack/stirrup-leathers/tekna-flex-tek-stirrup-irons-black,yes,/horse/tack/stirrup-irons/tekna-flex-tek-stirrup-irons-black,/horse/tack/stirrup-leathers/tekna-flex-tek-stirrup-irons-black,ascot saddlery; australia only; stirrups; stirrups and leathers,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991649632548,tech-stirrup-irons-venice-young-safety-stirrups-black-red,Tech Stirrup Irons' Black & Red Venice Young Safety Riding Stirrup Leathers,Ascot Saddlery,HORSE: Stirrup Irons,HORSE: Stirrup Irons,95,auto,"The product is clearly described as 'Tech Stirrup Irons Venice Young Safety Stirrups' in the title and description, and it is categorized under 'stirrups' and 'stirrups and leathers' in tags. The canonical collection hint also points to 'stirrup-irons'.",Stirrup Irons; Stirrups; Stirrups and leathers,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-young-safety-stirrups-black-red,/horse/tack/stirrup-irons/tech-stirrup-irons-venice-young-safety-stirrups-black-red,no,,,ascot saddlery; stirrups; stirrups and leathers; tech,strapping; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991649894692,tekna-gullet-all-purpose-dressage-g1,Gullet Tekna All Purpose & Dressage G1,Ascot Saddlery,SADDLES: Saddle Accessories & Gullets,SADDLES: Saddle Accessories & Gullets,95,auto,"The product is a gullet, which is an accessory for saddles, specifically mentioned in the description and tags. The canonical collection hint and image alts also support this classification.",Saddle Accessories; Saddles - Saddle Accessories,Horse > Saddles > Saddle Accessories,/horse/saddles/accessories,/horse/saddles/accessories/tekna-gullet-all-purpose-dressage-g1,/horse/saddles/accessories/tekna-gullet-all-purpose-dressage-g1,no,,,all purpose; ascot saddlery; australia only; extra wide; medium,saddles; ascot-saddlery; globo_basis_collection,gpt-4o,no,
gid://shopify/Product/7991650025764,tekna-gullet-all-purpose-dressage-g2,Gullet Tekna All Purpose & Dressage G2,Ascot Saddlery,SADDLES: Saddle Accessories & Gullets,SADDLES: Saddle Accessories & Gullets,95,auto,"The product is a gullet, which is an accessory for saddles, specifically mentioned in the title and description. The canonical collection hint and tags also support this classification. The current type already matches the most specific allowed type for this product.",Saddle Accessories; Saddles - Saddle Accessories,Horse > Saddles > Saddle Accessories,/horse/saddles/accessories,/horse/saddles/accessories/tekna-gullet-all-purpose-dressage-g2,/horse/saddles/accessories/tekna-gullet-all-purpose-dressage-g2,no,,,all purpose; ascot saddlery; australia only; medium; medium wide,saddles; ascot-saddlery; globo_basis_collection,gpt-4o,no,
